Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],RUL,Source
297.9,308.5,1300.0,53.0,172,13,AI4I
297.9,308.4,1646.0,40.6,175,12,AI4I
297.8,308.4,1714.0,33.2,177,11,AI4I
297.8,308.4,1685.0,28.4,179,10,AI4I
297.8,308.4,1512.0,39.9,181,9,AI4I
297.8,308.4,1612.0,32.1,183,8,AI4I
297.8,308.4,1550.0,38.2,185,7,AI4I
297.8,308.4,1518.0,32.5,190,6,AI4I
297.8,308.5,1448.0,40.0,192,5,AI4I
297.8,308.5,1561.0,46.3,194,4,AI4I
297.8,308.5,1488.0,41.9,196,3,AI4I
297.8,308.5,1699.0,27.8,199,2,AI4I
297.7,308.5,1501.0,41.4,201,1,AI4I
297.7,308.5,1373.0,56.7,203,0,AI4I
297.6,308.4,1703.0,31.4,205,52,AI4I
297.7,308.5,1720.0,29.9,210,51,AI4I
297.6,308.4,1398.0,41.9,215,50,AI4I
297.6,308.4,1391.0,51.9,218,49,AI4I
297.6,308.3,1538.0,40.2,0,48,AI4I
297.5,308.2,1647.0,31.3,3,47,AI4I
297.5,308.1,1469.0,44.8,5,46,AI4I
297.4,308.1,1749.0,25.9,8,45,AI4I
297.6,308.2,1995.0,20.5,10,44,AI4I
297.6,308.3,1742.0,27.7,13,43,AI4I
297.5,308.2,1563.0,38.2,15,42,AI4I
297.5,308.2,1713.0,32.2,17,41,AI4I
297.4,308.1,1474.0,39.4,20,40,AI4I
297.4,308.2,1530.0,32.6,22,39,AI4I
297.4,308.2,1471.0,46.5,25,38,AI4I
297.5,308.3,1388.0,48.6,27,37,AI4I
297.5,308.2,2448.0,13.8,29,36,AI4I
297.5,308.3,1585.0,32.9,32,35,AI4I
297.5,308.3,1459.0,45.2,34,34,AI4I
297.5,308.3,1544.0,40.8,37,33,AI4I
297.6,308.3,1617.0,31.7,39,32,AI4I
297.6,308.3,1595.0,34.3,41,31,AI4I
297.6,308.3,1400.0,44.3,43,30,AI4I
297.6,308.4,1611.0,31.0,48,29,AI4I
297.6,308.4,1507.0,46.0,51,28,AI4I
297.5,308.3,1674.0,30.0,54,27,AI4I
297.6,308.3,1658.0,34.3,59,26,AI4I
297.6,308.3,1623.0,36.9,61,25,AI4I
297.6,308.4,1398.0,48.9,63,24,AI4I
297.6,308.4,1517.0,34.2,66,23,AI4I
297.6,308.3,1467.0,36.7,68,22,AI4I
297.6,308.3,1567.0,34.6,71,21,AI4I
297.5,308.3,1521.0,38.2,74,20,AI4I
297.5,308.3,1596.0,36.8,77,19,AI4I
297.6,308.3,1640.0,30.9,79,18,AI4I
297.6,308.3,1438.0,47.8,84,17,AI4I
297.6,308.4,1407.0,55.2,86,16,AI4I
297.6,308.4,1353.0,57.5,88,15,AI4I
297.6,308.5,1552.0,40.9,90,14,AI4I
297.6,308.4,1569.0,38.3,93,13,AI4I
297.5,308.4,1489.0,39.5,96,12,AI4I
297.5,308.4,1587.0,36.1,98,11,AI4I
297.5,308.3,1622.0,37.2,103,10,AI4I
297.5,308.4,1604.0,38.1,106,9,AI4I
297.4,308.3,1405.0,51.7,108,8,AI4I
297.4,308.3,1412.0,42.0,111,7,AI4I
297.4,308.3,1431.0,43.0,113,6,AI4I
297.4,308.2,1533.0,37.4,115,5,AI4I
297.4,308.2,1401.0,51.9,117,4,AI4I
297.4,308.2,1424.0,53.9,120,3,AI4I
297.3,308.2,1754.0,29.4,123,2,AI4I
297.3,308.2,1754.0,26.8,125,1,AI4I
297.5,308.3,2564.0,12.8,127,0,AI4I
297.5,308.5,1546.0,40.4,129,61,AI4I
297.5,308.5,1335.0,48.0,131,60,AI4I
297.5,308.6,1842.0,27.0,133,59,AI4I
297.5,308.5,1712.0,26.8,136,58,AI4I
297.6,308.6,1414.0,45.4,138,57,AI4I
297.6,308.7,1319.0,50.9,141,56,AI4I
297.7,308.7,1249.0,60.4,143,55,AI4I
297.6,308.7,1455.0,48.2,145,54,AI4I
297.6,308.7,1408.0,54.8,147,53,AI4I
297.6,308.7,1460.0,46.7,150,52,AI4I
297.6,308.6,1491.0,38.1,152,51,AI4I
297.6,308.5,1490.0,43.4,154,50,AI4I
297.5,308.4,1350.0,52.2,157,49,AI4I
297.5,308.4,1528.0,39.9,160,48,AI4I
297.4,308.3,1571.0,37.7,162,47,AI4I
297.4,308.3,1490.0,42.6,164,46,AI4I
297.4,308.3,1774.0,28.9,166,45,AI4I
297.4,308.3,1502.0,43.6,169,44,AI4I
297.4,308.4,1392.0,49.7,174,43,AI4I
297.4,308.5,2100.0,16.9,176,42,AI4I
297.5,308.5,1722.0,30.4,178,41,AI4I
297.4,308.6,1678.0,32.3,180,40,AI4I
297.3,308.6,1273.0,59.8,182,39,AI4I
297.3,308.6,1297.0,45.9,184,38,AI4I
297.3,308.5,1350.0,57.6,186,37,AI4I
297.4,308.6,1439.0,51.9,188,36,AI4I
297.4,308.5,1600.0,42.1,190,35,AI4I
297.4,308.6,1434.0,44.4,193,34,AI4I
297.4,308.6,1459.0,41.3,196,33,AI4I
297.5,308.6,1472.0,44.9,198,32,AI4I
297.5,308.7,1429.0,44.3,201,31,AI4I
297.5,308.6,1388.0,48.2,203,30,AI4I
297.4,308.4,1573.0,34.5,205,29,AI4I
297.4,308.4,1588.0,32.5,207,28,AI4I
297.5,308.4,1511.0,42.8,209,27,AI4I
297.4,308.5,1495.0,37.8,211,26,AI4I
297.4,308.4,1394.0,50.1,213,25,AI4I
297.4,308.4,2151.0,17.7,0,24,AI4I
297.3,308.3,1501.0,38.2,2,23,AI4I
297.3,308.3,1301.0,39.6,5,22,AI4I
297.3,308.3,1657.0,31.1,8,21,AI4I
297.3,308.3,1333.0,55.2,11,20,AI4I
297.3,308.3,1484.0,43.9,13,19,AI4I
297.3,308.4,1430.0,45.7,15,18,AI4I
297.3,308.4,1665.0,28.9,17,17,AI4I
297.4,308.5,1501.0,44.9,20,16,AI4I
297.5,308.5,1496.0,42.2,22,15,AI4I
297.6,308.6,1595.0,36.9,25,14,AI4I
297.5,308.6,1208.0,62.3,28,13,AI4I
297.5,308.6,1596.0,37.1,30,12,AI4I
297.5,308.5,1446.0,41.9,32,11,AI4I
297.6,308.5,1466.0,39.7,34,10,AI4I
297.6,308.5,1848.0,23.7,37,9,AI4I
297.5,308.5,1484.0,44.7,40,8,AI4I
297.4,308.3,1493.0,41.2,43,7,AI4I
297.3,308.3,1504.0,36.3,45,6,AI4I
297.3,308.3,1538.0,38.5,47,5,AI4I
297.4,308.4,1341.0,52.2,49,4,AI4I
297.4,308.3,1535.0,34.6,51,3,AI4I
297.4,308.5,1389.0,39.2,54,2,AI4I
297.5,308.5,1393.0,46.6,56,1,AI4I
297.4,308.5,1399.0,61.5,61,0,AI4I
297.4,308.5,1469.0,45.1,63,20,AI4I
297.4,308.4,1582.0,37.2,68,19,AI4I
297.5,308.6,1793.0,26.7,70,18,AI4I
297.5,308.6,1452.0,39.0,72,17,AI4I
297.6,308.7,1376.0,59.9,74,16,AI4I
297.5,308.6,1552.0,44.9,77,15,AI4I
297.6,308.7,1622.0,37.9,79,14,AI4I
297.6,308.7,1419.0,41.7,81,13,AI4I
297.5,308.6,1440.0,46.1,84,12,AI4I
297.4,308.6,1643.0,31.0,89,11,AI4I
297.4,308.7,1510.0,36.2,92,10,AI4I
297.4,308.7,1468.0,46.6,94,9,AI4I
297.4,308.7,1429.0,57.4,96,8,AI4I
297.3,308.7,1478.0,47.6,98,7,AI4I
297.4,308.6,1276.0,53.6,103,6,AI4I
297.3,308.6,1486.0,42.6,105,5,AI4I
297.4,308.6,1476.0,42.3,107,4,AI4I
297.3,308.6,1431.0,42.0,109,3,AI4I
297.4,308.7,1402.0,40.2,114,2,AI4I
297.4,308.7,1433.0,43.4,116,1,AI4I
297.4,308.7,2874.0,4.2,118,0,AI4I
297.3,308.6,1511.0,35.7,120,122,AI4I
297.3,308.6,1456.0,42.9,122,121,AI4I
297.2,308.5,1550.0,41.5,125,120,AI4I
297.2,308.5,2182.0,16.5,127,119,AI4I
297.3,308.7,1619.0,31.6,129,118,AI4I
297.3,308.8,1586.0,32.7,131,117,AI4I
297.3,308.8,1499.0,44.2,134,116,AI4I
297.3,308.8,1419.0,42.4,139,115,AI4I
297.4,309.0,1497.0,41.8,144,114,AI4I
297.4,309.0,1520.0,37.0,147,113,AI4I
297.4,309.1,1478.0,49.8,150,112,AI4I
297.4,309.1,1380.0,41.1,152,111,AI4I
297.4,309.0,1570.0,37.9,154,110,AI4I
297.4,309.0,1468.0,41.4,156,109,AI4I
297.4,309.0,1833.0,22.6,161,108,AI4I
297.4,308.9,1323.0,57.3,163,107,AI4I
297.4,309.0,1583.0,32.0,166,106,AI4I
297.3,309.0,1556.0,39.5,168,105,AI4I
297.3,309.0,1548.0,37.4,171,104,AI4I
297.4,309.0,1324.0,56.9,173,103,AI4I
297.4,309.0,1568.0,33.7,175,102,AI4I
297.4,309.0,1685.0,30.7,177,101,AI4I
297.4,309.1,1582.0,35.9,180,100,AI4I
297.4,309.1,1463.0,35.0,183,99,AI4I
297.4,309.2,1584.0,42.8,186,98,AI4I
297.5,309.2,1347.0,55.8,188,97,AI4I
297.4,309.2,1459.0,37.9,191,96,AI4I
297.4,309.2,1420.0,45.6,193,95,AI4I
297.5,309.3,1404.0,43.5,195,94,AI4I
297.5,309.3,1470.0,38.8,197,93,AI4I
297.6,309.4,1326.0,49.8,199,92,AI4I
297.5,309.3,1459.0,49.7,201,91,AI4I
297.5,309.2,1530.0,40.0,206,90,AI4I
297.4,309.0,1505.0,39.2,209,89,AI4I
297.5,309.1,1611.0,30.2,211,88,AI4I
297.5,309.1,1515.0,35.1,213,87,AI4I
297.5,309.2,1804.0,27.4,215,86,AI4I
297.6,309.3,1464.0,46.2,218,85,AI4I
297.6,309.2,1390.0,43.3,221,84,AI4I
297.6,309.2,1442.0,48.1,0,83,AI4I
297.6,309.3,1529.0,41.9,3,82,AI4I
297.6,309.3,1610.0,35.0,6,81,AI4I
297.6,309.3,1543.0,34.3,8,80,AI4I
297.8,309.4,1445.0,48.2,10,79,AI4I
297.7,309.3,1893.0,24.6,15,78,AI4I
297.6,309.3,1415.0,41.3,17,77,AI4I
297.5,309.3,1564.0,37.5,20,76,AI4I
297.5,309.3,1479.0,39.4,22,75,AI4I
297.5,309.2,1426.0,44.8,24,74,AI4I
297.4,309.2,1428.0,38.8,26,73,AI4I
297.4,309.2,1620.0,33.2,28,72,AI4I
297.5,309.2,1715.0,28.0,30,71,AI4I
297.5,309.3,1732.0,29.9,32,70,AI4I
297.5,309.4,1391.0,58.2,34,69,AI4I
297.6,309.5,1924.0,20.6,37,68,AI4I
297.7,309.5,2027.0,19.8,39,67,AI4I
297.6,309.5,1617.0,36.2,42,66,AI4I
297.5,309.4,1497.0,35.8,44,65,AI4I
297.5,309.5,1448.0,43.7,46,64,AI4I
297.4,309.4,1401.0,45.9,49,63,AI4I
297.4,309.4,1620.0,35.4,51,62,AI4I
297.4,309.4,1466.0,45.5,53,61,AI4I
297.6,309.5,1373.0,50.6,55,60,AI4I
297.6,309.6,1592.0,35.8,57,59,AI4I
297.5,309.5,1553.0,42.4,60,58,AI4I
297.6,309.5,1569.0,36.2,63,57,AI4I
297.6,309.5,1709.0,32.2,65,56,AI4I
297.6,309.5,1549.0,34.9,68,55,AI4I
297.5,309.4,1443.0,45.4,70,54,AI4I
297.5,309.3,1675.0,29.8,72,53,AI4I
