udi,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,type_enc,temp_diff,power_W,wear_rate,torque_speed_ratio,high_wear_flag,thermal_overload,air_temperature_roll_mean_5,air_temperature_roll_std_5,air_temperature_delta,air_temperature_lag1,process_temperature_roll_mean_5,process_temperature_roll_std_5,process_temperature_delta,process_temperature_lag1,rotational_speed_roll_mean_5,rotational_speed_roll_std_5,rotational_speed_delta,rotational_speed_lag1,torque_roll_mean_5,torque_roll_std_5,torque_delta,torque_lag1,tool_wear_roll_mean_5,tool_wear_roll_std_5,tool_wear_delta,tool_wear_lag1,PC1,PC2,PC3,cluster_raw,health_regime,health_regime_enc
11,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2,10.5,4459.993426595285,0.0134680134604556,0.0134118967377037,0,1,298.28000000000003,0.1788854381999675,-0.1000000000000227,298.5,308.76,0.181659021245925,-0.1000000000000227,309.0,1655.0,111.2002697838454,41.0,1741.0,32.62,8.16468003047273,-4.100000000000001,28.0,18.6,3.974921382870358,3.0,21.0,0.6640051719578615,-2.2855735792810066,-1.297918927262048,2,Degraded,1
12,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2,10.5,6601.41817101272,0.0203794799575688,0.0311314124869069,0,1,298.38,0.1923538406167448,0.2000000000000454,298.4,308.86,0.2073644135334064,0.2000000000000454,308.9,1628.0,150.1932089010685,-359.0,1782.0,33.0,8.756426211645945,20.4,23.9,21.6,5.128352561983233,5.0,24.0,-1.2181426910301616,-0.12175920613194693,-1.2179533093547912,1,Normal,0
13,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,10.5,7165.22933257697,0.0253920836255473,0.0381628080372197,0,1,298.48,0.1303840481041712,0.0,298.6,308.96,0.1673320053070799,0.0,309.1,1590.4,197.78978740066435,-84.0,1423.0,35.17999999999999,11.818502443203204,6.800000000000004,44.3,25.2,6.379655163094632,5.0,29.0,-1.7854050484154784,0.46139498083810343,-1.1383292501259572,1,Normal,0
14,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,10.599999999999966,5472.65440255342,0.0212399540635821,0.0172215843758773,0,1,298.54,0.0894427191001983,0.0,298.6,309.06,0.1140175425104202,0.0999999999999659,309.1,1605.4,207.64946424202492,403.0,1339.0,35.46,11.638857332229833,-21.1,51.1,29.0,6.670832032063166,3.0,34.0,0.4079660310982566,-1.7103926709710957,-1.0980648534645816,2,Degraded,1
15,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,10.599999999999966,4176.85215270275,0.0196560196463606,0.0096314496267167,0,1,298.56000000000006,0.0894427191002126,0.0,298.6,309.1,0.1224744871396683,0.0,309.2,1664.2,283.4408227478886,293.0,1742.0,33.78,13.450167285205048,-10.4,30.0,32.8,6.379655163094632,3.0,37.0,1.7340226767084101,-3.0619367043290997,-1.055401200461327,2,Degraded,1
16,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,10.599999999999966,7815.528539894543,0.0272373540679394,0.0313878080211492,0,1,298.6,0.0,0.0,298.6,309.16,0.0547722557517667,0.0,309.2,1616.2,278.78791222002434,-493.0,2035.0,38.67999999999999,13.413687039736686,28.8,19.6,36.4,5.128352561983234,2.0,40.0,-1.0536650268863315,-0.21097681206502644,-1.0170442381950031,1,Normal,0
17,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,10.599999999999966,6397.602111623327,0.0335621662596779,0.0355453851750225,0,1,298.6,0.0,0.0,298.6,309.17999999999995,0.0447213595515829,0.0,309.2,1593.8,301.7460853101495,-231.0,1542.0,39.14,13.691165034430048,-1.7999999999999972,48.4,39.4,3.9749213828703582,2.0,42.0,-1.6039216860951246,0.34650450352311696,-0.9816252229751908,1,Normal,0
18,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,10.5,6733.0613751736455,0.0333333333096926,0.0323404255089784,0,1,298.62,0.0447213595505154,0.0999999999999659,298.6,309.2,0.0,0.0,309.2,1608.0,288.12063445716626,99.0,1311.0,38.040000000000006,12.67312116252346,-1.0,46.6,42.0,3.8078865529319543,3.0,44.0,-1.254263593768287,0.042953599998375454,-0.936900420992397,1,Normal,0
19,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2,10.399999999999975,7453.638010152023,0.0382848391743607,0.0417304747000532,0,1,298.66,0.0894427191002801,0.1000000000000227,298.7,309.2,0.0,0.0,309.2,1520.8,303.0193063156208,-104.0,1410.0,42.94,13.496962621271493,8.899999999999999,45.6,44.6,3.9749213828703582,3.0,47.0,-1.9559165257771618,0.8134273323723059,-0.8892202889968662,1,Normal,0
20,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,10.400000000000034,5554.3358115467545,0.0337009803715067,0.0199142156740721,0,1,298.72,0.1303840481042641,0.0999999999999659,298.8,309.22,0.0447213595517386,0.1000000000000227,309.2,1440.2,143.84436033435583,326.0,1306.0,45.52,8.056488068631378,-22.0,54.5,47.6,5.128352561983234,5.0,50.0,0.09449779832577342,-1.1628155507157776,-0.8169585392929632,2,Degraded,1
21,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2,10.400000000000034,6148.358622463024,0.0421818181511404,0.0310545454319603,0,1,298.78000000000003,0.1303840481042854,0.0,298.9,309.24,0.0547722557520151,0.0,309.3,1406.8,133.2992873199253,-257.0,1632.0,44.38,7.949654080524497,10.200000000000005,32.5,50.8,5.718391382198319,3.0,55.0,-1.1203813724701441,0.07878212937153085,-0.7659818729507168,1,Normal,0
22,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,10.5,6802.595292573099,0.0434482758321046,0.0308965517028299,0,1,298.82000000000005,0.0836660026538058,-0.0999999999999659,298.9,309.26000000000005,0.0547722557520955,0.0,309.3,1434.6,122.37156532462924,75.0,1375.0,44.02,7.864286363046541,2.0999999999999943,42.7,54.6,6.348228099241552,5.0,58.0,-1.0403863634890744,-0.0485100938703028,-0.6880565907579677,1,Normal,0
23,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,10.400000000000034,5082.751338316391,0.0411132194553363,0.0194180898042896,0,1,298.86,0.0547722557511797,0.0999999999999659,298.8,309.28000000000003,0.0447213595520341,0.0,309.3,1468.8,136.81995468498008,131.0,1450.0,41.04,9.719979423846528,-14.099999999999998,44.8,58.2,6.058052492344383,2.0,63.0,0.04485825784593252,-1.1090237305515298,-0.6589370910865499,1,Normal,0
24,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,10.399999999999975,4731.3013681593,0.0386803185217973,0.0146188850883851,0,1,298.9,0.0707106781192341,0.1000000000000227,298.9,309.32,0.0447213595522597,0.0999999999999659,309.3,1559.2,150.95595384084726,177.0,1581.0,35.28,8.157327993896045,-5.0,30.7,61.8,5.263078946776306,3.0,65.0,0.8421834121807135,-1.801881747093107,-0.6163983798851771,2,Degraded,1
25,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,10.399999999999975,6097.339157768725,0.0448430492986271,0.0238949391262684,0,1,298.92,0.0836660026539128,0.0,299.0,309.34000000000003,0.0547722557524698,0.0,309.4,1545.0,145.64168359367454,-197.0,1758.0,36.24,8.029819425117855,11.599999999999998,25.7,64.8,4.658325879540847,2.0,68.0,-0.27597056115804314,-0.6577214955511187,-0.5822147381927818,1,Normal,0
26,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,10.5,4540.784717670103,0.0392262224399644,0.012520150450016,0,1,298.93999999999994,0.0894427191004755,0.0,299.0,309.38,0.0836660026548347,0.1000000000000227,309.4,1642.2,164.74434739923552,300.0,1561.0,32.36,8.779977220927181,-13.999999999999996,37.3,67.8,3.962322551231792,3.0,70.0,1.2813656241199067,-2.178834523907209,-0.5405529554840708,2,Degraded,1
27,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,10.399999999999975,6175.114519896098,0.0496031745703682,0.0257936507765914,0,1,299.0,0.0707106781193517,0.1000000000000227,299.0,309.42,0.0836660026549858,0.0,309.5,1654.6,148.15971112282853,-349.0,1861.0,31.2,6.909413868049897,15.7,23.3,70.2,3.962322551231792,2.0,73.0,-0.4350159040270688,-0.37442881005871537,-0.5047597285827519,1,Normal,0
28,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2,10.299999999999956,4665.327922433915,0.042517945862773,0.0135836554314833,0,1,299.04,0.0547722557514632,0.0,299.1,309.43999999999994,0.0547722557530626,-0.1000000000000227,309.5,1700.6,155.13639160429122,299.0,1512.0,29.98,7.530405035587413,-14.4,39.0,72.6,3.6469165057620967,2.0,75.0,1.070990620616956,-1.9800238691463057,-0.47664776952031196,2,Degraded,1
29,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,10.299999999999956,6660.574360679816,0.056984016638649,0.0307157748222961,0,1,299.06000000000006,0.0547722557514866,0.0,299.1,309.44,0.0547722557530626,0.0,309.4,1636.8,187.78764602603653,-372.0,1811.0,33.68,9.250243240045103,19.6,24.6,75.4,4.505552130427526,5.0,77.0,-0.9262591817746714,0.06347412880060423,-0.39276969575522064,1,Normal,0
30,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,10.399999999999975,5336.445417069278,0.0496160661254482,0.0177790903616189,0,1,299.06000000000006,0.0547722557514866,-0.1000000000000227,299.1,309.43999999999994,0.0547722557530626,0.0,309.4,1663.2,183.70138812758057,254.0,1439.0,32.239999999999995,9.105108456245878,-14.1,44.2,78.2,4.658325879540847,2.0,82.0,0.44904760756466766,-1.3918260384049557,-0.36420348503394406,2,Degraded,1
31,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,10.399999999999975,6758.592051471818,0.064227035052855,0.0359970126691583,0,1,299.08000000000004,0.0447213595512184,0.1000000000000227,299.0,309.43999999999994,0.0547722557530626,0.1000000000000227,309.4,1558.8,191.3562123370966,-354.0,1693.0,37.220000000000006,9.777627524098062,18.1,30.1,80.8,4.658325879540847,2.0,84.0,-1.3657295279209658,0.5821501967946724,-0.32950366800865594,1,Normal,0
32,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,10.399999999999975,4801.296052481282,0.0494994437989435,0.014182424908686,0,1,299.06,0.0547722557514866,-0.1000000000000227,299.1,309.42,0.0447213595529477,-0.1000000000000227,309.5,1616.0,215.13716554793595,459.0,1339.0,34.52,10.95613983116317,-22.700000000000003,48.2,83.6,4.505552130427526,3.0,86.0,0.9684359153050301,-1.9197436187315589,-0.28722361603449953,2,Degraded,1
33,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,10.399999999999975,7177.251160464705,0.064129668735638,0.0340380549443001,0,1,299.04,0.0547722557514632,0.0,299.0,309.42,0.0447213595529477,0.0,309.4,1537.6,196.96903309911437,-379.0,1798.0,39.260000000000005,10.715549449281632,22.8,25.5,86.4,3.6469165057620967,2.0,89.0,-1.2071017655132907,0.3056502710474354,-0.2505046435145462,1,Normal,0
34,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,10.400000000000034,5666.647748912589,0.0558558558223087,0.019519519507796,0,1,299.0,0.0707106781193803,-0.1000000000000227,299.0,309.4,0.0707106781204072,-0.0999999999999659,309.4,1582.8,194.60267212964987,246.0,1419.0,36.92,10.644341219634024,-15.799999999999995,48.3,88.6,3.6469165057620967,2.0,91.0,0.19601393696562336,-1.2470801480608897,-0.22065901096446056,2,Degraded,1
35,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,10.300000000000011,5665.056008634771,0.0609364977158842,0.0222578575867492,0,1,298.96,0.1140175425103548,-0.0999999999999659,298.9,309.34000000000003,0.1516575088816895,-0.1999999999999886,309.3,1556.0,184.60227517557848,-106.0,1665.0,37.84,10.091977011468067,2.200000000000003,32.5,90.8,3.492849839314601,2.0,93.0,-0.299042367925631,-0.928384625911824,-0.18466966219904224,1,Normal,0
36,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,10.399999999999975,7389.779903480055,0.0674931129011755,0.0334710743571135,0,1,298.9,0.100000000000469,0.0,298.8,309.28000000000003,0.1303840481046428,0.0999999999999659,309.1,1578.6,156.11310002687154,-107.0,1559.0,37.92,10.195685361955809,13.9,34.7,93.2,3.492849839314601,3.0,95.0,-1.2472953845650878,0.11370680196097672,-0.13747853168205382,1,Normal,0
37,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,10.300000000000011,6076.122935381484,0.0638836179229072,0.0232131562155514,0,1,298.88,0.0836660026539625,0.0999999999999659,298.8,309.23999999999995,0.114017542510457,0.0,309.2,1535.2,99.92096877032364,129.0,1452.0,40.16,7.71284642657948,-11.9,48.6,95.6,3.974921382870363,3.0,98.0,-0.27601867732050817,-0.8289739992679274,-0.0927264733859156,1,Normal,0
38,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,10.300000000000011,5907.115722593864,0.0722724113465792,0.0272411396614029,0,1,298.84000000000003,0.0547722557513724,-0.0999999999999659,298.9,309.18,0.083666002653858,-0.0999999999999659,309.2,1539.2,94.35147057677472,-142.0,1581.0,38.34,6.246038744676497,2.5,36.7,98.2,4.438468204234434,3.0,101.0,-0.8512993083739746,-0.3603404415548133,-0.041494820517551115,1,Normal,0
39,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2,10.300000000000011,7321.51309511755,0.0768672950856654,0.036765772272106,0,1,298.84,0.0547722557513724,0.0999999999999659,298.8,309.16,0.0547722557510402,0.0999999999999659,309.1,1482.0,85.27602242131131,-60.0,1439.0,41.98,7.219210483148402,11.5,39.2,100.8,4.438468204234434,2.0,104.0,-1.5257970653269872,0.4520670579454517,-0.01145560245519896,1,Normal,0
40,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,10.300000000000011,7422.0126441058865,0.0822222221613168,0.0388888888600823,0,1,298.84000000000003,0.0547722557513724,-0.0999999999999659,298.9,309.16,0.0547722557510402,-0.0999999999999659,309.2,1440.2,89.22835872075643,-29.0,1379.0,45.540000000000006,7.119901684714447,1.7999999999999972,50.7,104.0,4.949747468305838,5.0,106.0,-1.7530218385055039,0.5681923180652984,0.06930805736358417,1,Normal,0
41,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,10.300000000000011,6475.325113873137,0.0829662260771173,0.0333333333088595,0,1,298.84000000000003,0.0547722557513724,0.0,298.8,309.14,0.0547722557509014,0.0,309.1,1422.2,95.13516699938036,12.0,1350.0,44.9,6.917008023705022,-7.100000000000001,52.5,107.0,4.949747468305838,2.0,111.0,-1.36846583228075,0.17349730227071294,0.10086731866670888,1,Normal,0
42,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,10.300000000000011,7277.436550187683,0.0840643274239295,0.0371345028968315,0,1,298.82,0.0447213595510714,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1379.6,34.818098741889905,6.0,1362.0,47.72,5.458662839926966,5.399999999999999,45.4,109.8,4.658325879540852,2.0,113.0,-1.618115179970135,0.4319889922371866,0.13191370528066368,1,Normal,0
43,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,10.300000000000011,7033.900287681403,0.0855263157269544,0.0358918128392603,0,1,298.82,0.0447213595510714,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1365.4,10.573551910308726,0.0,1368.0,49.7,2.687936011143019,-1.6999999999999955,50.8,112.4,4.219004621945803,2.0,115.0,-1.533590039883778,0.34588926452320407,0.16341092836430704,1,Normal,0
44,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2,10.399999999999975,6968.261945172401,0.087463556787563,0.03534985420164,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,0.0999999999999659,309.1,1364.0,8.602325267042263,4.0,1368.0,49.26,2.663268668384671,-0.6000000000000014,49.1,115.2,3.4928498393146006,3.0,117.0,-1.4580404726974678,0.3381290978546004,0.2094328736063177,1,Normal,0
45,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,10.300000000000011,7322.00527796661,0.0849184782031803,0.0322690217172085,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,-0.0999999999999659,309.2,1388.4,46.8700330701824,100.0,1372.0,48.26,1.9982492337042173,-1.0,48.5,118.0,4.690415759823432,5.0,120.0,-1.1643929815705694,-0.02583569308440495,0.28738070056054327,1,Normal,0
46,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,10.300000000000011,7656.050824822813,0.0859637339919652,0.0329751510859804,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1413.8,61.20620883537872,17.0,1472.0,49.0,1.199999999999778,1.6000000000000014,47.5,121.0,5.43139024560011,3.0,125.0,-1.195565734816771,0.008541213179917828,0.33413422921082475,1,Normal,0
47,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,10.300000000000011,4979.36152408675,0.0705371676231485,0.0139989148052094,0,1,298.78000000000003,0.0447213595511413,-0.1000000000000227,298.8,309.1,0.0707106781187618,-0.1000000000000227,309.1,1508.8,194.91972706732375,354.0,1489.0,44.0,10.195096860746329,-23.3,49.1,124.0,5.43139024560011,2.0,128.0,0.8771945234457494,-2.229267162253529,0.3625173624388409,2,Degraded,1
48,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,10.300000000000011,6875.207970773071,0.0937940760974653,0.0326516219797943,0,1,298.78,0.0447213595511413,0.1000000000000227,298.7,309.1,0.0707106781187618,0.1000000000000227,309.0,1518.8,187.0125664226872,-425.0,1843.0,43.44,9.918064327276753,20.5,25.8,127.2,4.969909455915674,3.0,130.0,-1.2525178984601313,0.06648241138378685,0.4140098800233003,1,Normal,0
49,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2,10.399999999999975,8043.262591353266,0.0947368420387811,0.0378245613769652,0,1,298.78000000000003,0.0447213595511413,0.0,298.8,309.1,0.0707106781187618,0.0999999999999659,309.1,1529.4,177.89125891959955,7.0,1418.0,44.52,10.85642666810768,7.600000000000001,46.3,130.2,3.9623225512317934,2.0,133.0,-1.5740652573692355,0.4675145964469824,0.44387095352927447,1,Normal,0
50,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,10.300000000000011,6520.815375497119,0.0991501415728398,0.0312322945954445,0,1,298.8,0.0707106781193633,0.0999999999999659,298.8,309.12,0.0836660026535748,0.0,309.2,1517.4,184.62746274593064,-13.0,1425.0,43.84,10.728839639028989,-9.799999999999995,53.9,133.2,4.658325879540855,5.0,135.0,-1.0992598590588913,0.03093144488467472,0.5223411690727816,1,Normal,0
51,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,10.200000000000044,1378.1748092277942,0.0499825235756789,0.0016078294297071,0,1,298.82,0.0836660026539999,0.0,298.9,309.12,0.0836660026535748,-0.0999999999999659,309.2,1791.8,625.3652532720379,1449.0,1412.0,34.94,19.852531324745463,-39.5,44.1,136.2,5.263078946776318,3.0,140.0,4.8318980102756734,-6.081527596624736,0.547894491028345,2,Degraded,1
52,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,10.200000000000044,7951.025431043872,0.1048445407774081,0.0396963123357221,0,1,298.86,0.0547722557514022,0.0,298.9,309.14,0.0547722557508956,0.0,309.1,1699.8,649.3271132487846,-1478.0,2861.0,40.760000000000005,20.74844572492117,50.3,4.6,139.2,5.118593556827907,2.0,143.0,-1.7458641953403182,0.6299150717728567,0.6018961484888686,1,Normal,0
53,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2,10.199999999999989,6866.327735538923,0.0981963927199756,0.0292585170145233,0,1,298.86,0.0547722557514022,-0.0999999999999659,298.9,309.12,0.0836660026535748,-0.1000000000000227,309.1,1715.6,641.6718787667105,114.0,1383.0,40.26,20.611234800467432,-11.1,54.9,142.0,4.690415759823449,2.0,145.0,-0.9405177479125227,-0.3128826556045031,0.6337489014608615,1,Normal,0
54,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,10.300000000000011,5752.41322835559,0.0971246005769171,0.0224281150016433,0,1,298.84000000000003,0.0894427191005335,-0.1000000000000227,298.8,309.08000000000004,0.0836660026534236,0.0,309.0,1743.6,628.7454174783304,68.0,1497.0,36.5,19.16494195138613,-8.699999999999996,43.8,145.4,4.505552130427543,5.0,147.0,-0.34631121399652687,-0.9703142680446966,0.7123239013588836,1,Normal,0
55,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,10.300000000000011,5330.141287811076,0.091070372506759,0.0178001182626847,0,1,298.8,0.1000000000004889,0.0,298.7,309.0400000000001,0.0547722557503416,0.0,309.0,1799.4,603.8466692795448,126.0,1565.0,33.7,18.796143221416457,-5.0,35.1,148.2,4.658325879540866,2.0,152.0,0.2501970232858703,-1.5782282046980205,0.7418469045285585,2,Degraded,1
56,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,10.300000000000011,6444.286178455672,0.1031746031063659,0.0269179894001865,0,1,298.78,0.0836660026540054,0.1000000000000227,298.7,309.04,0.0547722557503416,0.1000000000000227,309.0,1529.6,111.99017814076376,-179.0,1691.0,40.92,9.417112083860944,10.6,30.1,150.8,4.658325879540866,2.0,154.0,-0.70938833409665,-0.4774728137754805,0.7739481588497523,1,Normal,0
57,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,10.300000000000011,6558.053720417668,0.1069735950528276,0.0287068381660752,0,1,298.76,0.0547722557514612,0.0,298.8,309.04,0.0547722557503416,0.0,309.1,1548.4,86.13245613588414,-35.0,1512.0,38.42,5.705874166155422,1.6999999999999955,40.7,153.4,4.219004621945817,2.0,156.0,-0.8897751057130977,-0.2922049831167561,0.8058716734945294,1,Normal,0
58,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,10.300000000000011,6385.171876690622,0.1057501651647388,0.0266358228508685,0,1,298.76000000000005,0.0547722557514612,0.0,298.8,309.06,0.0547722557504454,0.0,309.1,1551.6,84.01666501355552,36.0,1477.0,37.72,5.058853625081463,-2.1000000000000014,42.4,156.0,3.162277660168403,2.0,158.0,-0.6857900967370669,-0.49975923066561073,0.8367781420371287,1,Normal,0
59,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,10.199999999999989,5131.215640985769,0.0975316074066636,0.0177603852993615,0,1,298.78000000000003,0.0447213595511135,0.0,298.8,309.06000000000006,0.0547722557504454,-0.1000000000000227,309.1,1570.8,97.69953940526028,148.0,1513.0,36.6,6.260990336999401,-10.799999999999995,40.3,158.0,3.162277660168403,2.0,160.0,0.22417715209797573,-1.4980653965482131,0.8672734745795581,2,Degraded,1
