udi,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,type_enc,temp_diff,power_W,wear_rate,torque_speed_ratio,high_wear_flag,thermal_overload,air_temperature_roll_mean_5,air_temperature_roll_std_5,air_temperature_delta,air_temperature_lag1,process_temperature_roll_mean_5,process_temperature_roll_std_5,process_temperature_delta,process_temperature_lag1,rotational_speed_roll_mean_5,rotational_speed_roll_std_5,rotational_speed_delta,rotational_speed_lag1,torque_roll_mean_5,torque_roll_std_5,torque_delta,torque_lag1,tool_wear_roll_mean_5,tool_wear_roll_std_5,tool_wear_delta,tool_wear_lag1
11,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2,10.5,4459.993426595285,0.013468013460455659,0.01341189673770376,0,1,298.28000000000003,0.1788854381999675,-0.10000000000002274,298.5,308.76,0.18165902124592503,-0.10000000000002274,309.0,1655.0,111.20026978384541,41.0,1741.0,32.62,8.16468003047273,-4.100000000000001,28.0,18.6,3.974921382870358,3.0,21.0
12,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2,10.5,6601.41817101272,0.02037947995756888,0.031131412486906943,0,1,298.38,0.19235384061674488,0.20000000000004547,298.4,308.86,0.20736441353340643,0.20000000000004547,308.9,1628.0,150.1932089010685,-359.0,1782.0,33.0,8.756426211645945,20.4,23.9,21.6,5.128352561983233,5.0,24.0
13,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,10.5,7165.22933257697,0.02539208362554736,0.038162808037219706,0,1,298.48,0.13038404810417126,0.0,298.6,308.96,0.16733200530707992,0.0,309.1,1590.4,197.78978740066435,-84.0,1423.0,35.17999999999999,11.818502443203203,6.800000000000004,44.3,25.2,6.379655163094632,5.0,29.0
14,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,10.599999999999966,5472.6544025534195,0.021239954063582114,0.01722158437587739,0,1,298.54,0.08944271910019834,0.0,298.6,309.06,0.11401754251042022,0.0999999999999659,309.1,1605.4,207.64946424202495,403.0,1339.0,35.46,11.638857332229831,-21.1,51.1,29.0,6.670832032063166,3.0,34.0
15,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,10.599999999999966,4176.85215270275,0.019656019646360677,0.009631449626716733,0,1,298.56000000000006,0.08944271910021263,0.0,298.6,309.1,0.12247448713966831,0.0,309.2,1664.2,283.4408227478886,293.0,1742.0,33.78,13.450167285205048,-10.399999999999999,30.0,32.8,6.379655163094632,3.0,37.0
16,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,10.599999999999966,7815.528539894543,0.027237354067939458,0.03138780802114928,0,1,298.6,0.0,0.0,298.6,309.16,0.054772255751766724,0.0,309.2,1616.2,278.78791222002434,-493.0,2035.0,38.67999999999999,13.413687039736686,28.799999999999997,19.6,36.4,5.128352561983234,2.0,40.0
17,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,10.599999999999966,6397.602111623327,0.03356216625967798,0.035545385175022585,0,1,298.6,0.0,0.0,298.6,309.17999999999995,0.04472135955158295,0.0,309.2,1593.8,301.7460853101495,-231.0,1542.0,39.14,13.691165034430048,-1.7999999999999972,48.4,39.4,3.9749213828703582,2.0,42.0
18,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,10.5,6733.0613751736455,0.03333333330969267,0.03234042550897842,0,1,298.62,0.044721359550515406,0.0999999999999659,298.6,309.2,0.0,0.0,309.2,1608.0,288.12063445716626,99.0,1311.0,38.040000000000006,12.67312116252346,-1.0,46.6,42.0,3.8078865529319548,3.0,44.0
19,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2,10.399999999999977,7453.6380101520235,0.03828483917436076,0.041730474700053234,0,1,298.66,0.08944271910028015,0.10000000000002274,298.7,309.2,0.0,0.0,309.2,1520.8,303.0193063156208,-104.0,1410.0,42.94,13.496962621271491,8.899999999999999,45.6,44.6,3.9749213828703582,3.0,47.0
20,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,10.400000000000034,5554.3358115467545,0.03370098037150675,0.019914215674072172,0,1,298.72,0.13038404810426416,0.0999999999999659,298.8,309.21999999999997,0.04472135955173866,0.10000000000002274,309.2,1440.2,143.84436033435583,326.0,1306.0,45.519999999999996,8.056488068631378,-22.0,54.5,47.6,5.128352561983234,5.0,50.0
21,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2,10.400000000000034,6148.3586224630235,0.04218181815114049,0.03105454543196033,0,1,298.78000000000003,0.13038404810428542,0.0,298.9,309.24,0.05477225575201515,0.0,309.3,1406.8,133.2992873199253,-257.0,1632.0,44.379999999999995,7.949654080524497,10.200000000000003,32.5,50.8,5.718391382198319,3.0,55.0
22,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,10.5,6802.595292573099,0.04344827583210464,0.03089655170282996,0,1,298.82000000000005,0.08366600265380587,-0.0999999999999659,298.9,309.26000000000005,0.05477225575209558,0.0,309.3,1434.6,122.37156532462924,75.0,1375.0,44.019999999999996,7.864286363046541,2.0999999999999943,42.7,54.6,6.348228099241552,5.0,58.0
23,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,10.400000000000034,5082.7513383163905,0.04111321945533635,0.01941808980428963,0,1,298.86,0.05477225575117979,0.0999999999999659,298.8,309.28000000000003,0.04472135955203418,0.0,309.3,1468.8,136.81995468498008,131.0,1450.0,41.04,9.719979423846528,-14.099999999999998,44.8,58.2,6.058052492344383,2.0,63.0
24,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,10.399999999999977,4731.3013681593,0.03868031852179731,0.01461888508838516,0,1,298.9,0.07071067811923416,0.10000000000002274,298.9,309.32,0.044721359552259796,0.0999999999999659,309.3,1559.2,150.95595384084726,177.0,1581.0,35.28,8.157327993896045,-5.0,30.7,61.8,5.263078946776306,3.0,65.0
25,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,10.399999999999977,6097.339157768725,0.044843049298627126,0.023894939126268454,0,1,298.91999999999996,0.08366600265391287,0.0,299.0,309.34000000000003,0.05477225575246984,0.0,309.4,1545.0,145.64168359367454,-197.0,1758.0,36.239999999999995,8.029819425117855,11.599999999999998,25.7,64.8,4.658325879540847,2.0,68.0
26,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,10.5,4540.784717670103,0.03922622243996441,0.012520150450016039,0,1,298.93999999999994,0.08944271910047556,0.0,299.0,309.38,0.0836660026548347,0.10000000000002274,309.4,1642.2,164.74434739923552,300.0,1561.0,32.36,8.779977220927181,-13.999999999999996,37.3,67.8,3.962322551231792,3.0,70.0
27,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,10.399999999999977,6175.114519896098,0.049603174570368266,0.025793650776591497,0,1,299.0,0.07071067811935174,0.10000000000002274,299.0,309.41999999999996,0.08366600265498586,0.0,309.5,1654.6,148.15971112282853,-349.0,1861.0,31.2,6.909413868049897,15.7,23.3,70.2,3.962322551231792,2.0,73.0
28,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2,10.299999999999955,4665.327922433915,0.042517945862773084,0.013583655431483349,0,1,299.04,0.05477225575146325,0.0,299.1,309.43999999999994,0.05477225575306269,-0.10000000000002274,309.5,1700.6,155.13639160429122,299.0,1512.0,29.98,7.530405035587413,-14.399999999999999,39.0,72.6,3.6469165057620967,2.0,75.0
29,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,10.299999999999955,6660.574360679816,0.05698401663864905,0.030715774822296194,0,1,299.06000000000006,0.0547722557514866,0.0,299.1,309.44,0.05477225575306269,0.0,309.4,1636.8,187.78764602603653,-372.0,1811.0,33.68,9.250243240045105,19.6,24.6,75.4,4.505552130427526,5.0,77.0
30,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,10.399999999999977,5336.445417069278,0.04961606612544828,0.017779090361618965,0,1,299.06000000000006,0.0547722557514866,-0.10000000000002274,299.1,309.43999999999994,0.05477225575306269,0.0,309.4,1663.2,183.70138812758057,254.0,1439.0,32.239999999999995,9.105108456245878,-14.100000000000001,44.2,78.2,4.658325879540847,2.0,82.0
31,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,10.399999999999977,6758.592051471818,0.06422703505285508,0.035997012669158314,0,1,299.08000000000004,0.04472135955121842,0.10000000000002274,299.0,309.43999999999994,0.05477225575306269,0.10000000000002274,309.4,1558.8,191.3562123370966,-354.0,1693.0,37.220000000000006,9.777627524098062,18.1,30.1,80.8,4.658325879540847,2.0,84.0
32,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,10.399999999999977,4801.296052481282,0.049499443798943575,0.01418242490868608,0,1,299.06,0.0547722557514866,-0.10000000000002274,299.1,309.41999999999996,0.04472135955294774,-0.10000000000002274,309.5,1616.0,215.13716554793595,459.0,1339.0,34.52,10.95613983116317,-22.700000000000003,48.2,83.6,4.505552130427526,3.0,86.0
33,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,10.399999999999977,7177.251160464705,0.064129668735638,0.03403805494430017,0,1,299.04,0.05477225575146325,0.0,299.0,309.41999999999996,0.04472135955294774,0.0,309.4,1537.6,196.96903309911434,-379.0,1798.0,39.260000000000005,10.715549449281632,22.799999999999997,25.5,86.4,3.6469165057620967,2.0,89.0
34,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,10.400000000000034,5666.647748912589,0.05585585582230879,0.019519519507796082,0,1,299.0,0.07071067811938038,-0.10000000000002274,299.0,309.4,0.07071067812040727,-0.0999999999999659,309.4,1582.8,194.60267212964987,246.0,1419.0,36.92,10.644341219634025,-15.799999999999997,48.3,88.6,3.6469165057620967,2.0,91.0
35,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,10.300000000000011,5665.056008634771,0.06093649771588422,0.02225785758674929,0,1,298.96,0.11401754251035484,-0.0999999999999659,298.9,309.34000000000003,0.15165750888168958,-0.19999999999998863,309.3,1556.0,184.60227517557848,-106.0,1665.0,37.839999999999996,10.091977011468067,2.200000000000003,32.5,90.8,3.492849839314601,2.0,93.0
36,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,10.399999999999977,7389.7799034800555,0.06749311290117553,0.033471074357113585,0,1,298.9,0.10000000000046905,0.0,298.8,309.28000000000003,0.13038404810464288,0.0999999999999659,309.1,1578.6,156.11310002687154,-107.0,1559.0,37.92,10.195685361955809,13.899999999999999,34.7,93.2,3.492849839314601,3.0,95.0
37,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,10.300000000000011,6076.122935381484,0.06388361792290725,0.02321315621555145,0,1,298.88,0.08366600265396257,0.0999999999999659,298.8,309.23999999999995,0.114017542510457,0.0,309.2,1535.2,99.92096877032363,129.0,1452.0,40.160000000000004,7.71284642657948,-11.899999999999999,48.6,95.6,3.974921382870363,3.0,98.0
38,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,10.300000000000011,5907.115722593864,0.07227241134657927,0.02724113966140296,0,1,298.84000000000003,0.05477225575137244,-0.0999999999999659,298.9,309.18,0.08366600265385804,-0.0999999999999659,309.2,1539.2,94.35147057677473,-142.0,1581.0,38.339999999999996,6.246038744676497,2.5,36.7,98.2,4.438468204234434,3.0,101.0
39,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2,10.300000000000011,7321.51309511755,0.07686729508566548,0.03676577227210604,0,1,298.84,0.05477225575137244,0.0999999999999659,298.8,309.15999999999997,0.05477225575104026,0.0999999999999659,309.1,1482.0,85.27602242131131,-60.0,1439.0,41.980000000000004,7.2192104831484025,11.5,39.2,100.8,4.438468204234434,2.0,104.0
40,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,10.300000000000011,7422.0126441058865,0.08222222216131686,0.0388888888600823,0,1,298.84000000000003,0.05477225575137244,-0.0999999999999659,298.9,309.15999999999997,0.05477225575104026,-0.0999999999999659,309.2,1440.2,89.22835872075643,-29.0,1379.0,45.540000000000006,7.119901684714447,1.7999999999999972,50.7,104.0,4.949747468305838,5.0,106.0
41,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,10.300000000000011,6475.325113873137,0.0829662260771173,0.033333333308859514,0,1,298.84000000000003,0.05477225575137244,0.0,298.8,309.14,0.054772255750901444,0.0,309.1,1422.2,95.13516699938037,12.0,1350.0,44.9,6.917008023705022,-7.100000000000001,52.5,107.0,4.949747468305838,2.0,111.0
42,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,10.300000000000011,7277.436550187683,0.08406432742392958,0.0371345028968315,0,1,298.82,0.04472135955107146,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1379.6,34.818098741889905,6.0,1362.0,47.72,5.458662839926966,5.399999999999999,45.4,109.8,4.658325879540852,2.0,113.0
43,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,10.300000000000011,7033.900287681403,0.08552631572695445,0.03589181283926037,0,1,298.82,0.04472135955107146,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1365.4,10.573551910308726,0.0,1368.0,49.7,2.687936011143019,-1.6999999999999957,50.8,112.4,4.219004621945803,2.0,115.0
44,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2,10.399999999999977,6968.261945172401,0.087463556787563,0.035349854201640045,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,0.0999999999999659,309.1,1364.0,8.602325267042263,4.0,1368.0,49.26,2.663268668384671,-0.6000000000000014,49.1,115.2,3.4928498393146006,3.0,117.0
45,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,10.300000000000011,7322.00527796661,0.08491847820318038,0.032269021717208544,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,-0.0999999999999659,309.2,1388.4,46.870033070182394,100.0,1372.0,48.26,1.9982492337042175,-1.0,48.5,118.0,4.690415759823432,5.0,120.0
46,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,10.300000000000011,7656.050824822813,0.08596373399196525,0.03297515108598042,0,1,298.8,0.0,0.0,298.8,309.12,0.0447213595503103,0.0,309.1,1413.8,61.20620883537872,17.0,1472.0,49.0,1.1999999999997781,1.6000000000000014,47.5,121.0,5.43139024560011,3.0,125.0
47,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,10.300000000000011,4979.36152408675,0.07053716762314857,0.013998914805209487,0,1,298.78000000000003,0.04472135955114137,-0.10000000000002274,298.8,309.1,0.07071067811876182,-0.10000000000002274,309.1,1508.8,194.91972706732378,354.0,1489.0,44.0,10.195096860746329,-23.3,49.1,124.0,5.43139024560011,2.0,128.0
48,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,10.300000000000011,6875.207970773071,0.09379407609746539,0.03265162197979434,0,1,298.78,0.04472135955114137,0.10000000000002274,298.7,309.1,0.07071067811876182,0.10000000000002274,309.0,1518.8,187.0125664226872,-425.0,1843.0,43.44,9.918064327276753,20.499999999999996,25.8,127.2,4.969909455915674,3.0,130.0
49,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2,10.399999999999977,8043.2625913532665,0.09473684203878116,0.037824561376965216,0,1,298.78000000000003,0.04472135955114137,0.0,298.8,309.1,0.07071067811876182,0.0999999999999659,309.1,1529.4,177.89125891959955,7.0,1418.0,44.519999999999996,10.85642666810768,7.600000000000001,46.3,130.2,3.9623225512317943,2.0,133.0
50,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,10.300000000000011,6520.815375497119,0.09915014157283984,0.03123229459544455,0,1,298.8,0.0707106781193633,0.0999999999999659,298.8,309.12,0.08366600265357482,0.0,309.2,1517.4,184.62746274593064,-13.0,1425.0,43.839999999999996,10.728839639028987,-9.799999999999997,53.9,133.2,4.658325879540855,5.0,135.0
51,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,10.200000000000045,1378.1748092277942,0.04998252357567895,0.001607829429707155,0,1,298.82,0.08366600265399994,0.0,298.9,309.12,0.08366600265357482,-0.0999999999999659,309.2,1791.8,625.3652532720379,1449.0,1412.0,34.94,19.852531324745463,-39.5,44.1,136.2,5.263078946776318,3.0,140.0
52,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,10.200000000000045,7951.025431043872,0.10484454077740814,0.039696312335722114,0,1,298.86,0.054772255751402286,0.0,298.9,309.14,0.05477225575089561,0.0,309.1,1699.8,649.3271132487846,-1478.0,2861.0,40.760000000000005,20.748445724921172,50.3,4.6,139.2,5.118593556827907,2.0,143.0
53,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2,10.199999999999989,6866.327735538923,0.09819639271997568,0.029258517014523363,0,1,298.86,0.054772255751402286,-0.0999999999999659,298.9,309.12,0.08366600265357482,-0.10000000000002274,309.1,1715.6,641.6718787667105,114.0,1383.0,40.26,20.611234800467432,-11.100000000000001,54.9,142.0,4.690415759823449,2.0,145.0
54,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,10.300000000000011,5752.41322835559,0.09712460057691719,0.022428115001643375,0,1,298.84000000000003,0.08944271910053354,-0.10000000000002274,298.8,309.08000000000004,0.08366600265342365,0.0,309.0,1743.6,628.7454174783304,68.0,1497.0,36.5,19.164941951386126,-8.699999999999996,43.8,145.4,4.505552130427543,5.0,147.0
55,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,10.300000000000011,5330.141287811076,0.09107037250675909,0.017800118262684732,0,1,298.8,0.10000000000048893,0.0,298.7,309.0400000000001,0.054772255750341683,0.0,309.0,1799.4,603.8466692795448,126.0,1565.0,33.7,18.796143221416457,-5.0,35.1,148.2,4.658325879540866,2.0,152.0
56,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,10.300000000000011,6444.286178455672,0.10317460310636599,0.026917989400186516,0,1,298.78,0.08366600265400545,0.10000000000002274,298.7,309.04,0.054772255750341683,0.10000000000002274,309.0,1529.6,111.99017814076375,-179.0,1691.0,40.92,9.417112083860943,10.600000000000001,30.1,150.8,4.658325879540866,2.0,154.0
57,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,10.300000000000011,6558.053720417668,0.10697359505282762,0.02870683816607526,0,1,298.76,0.054772255751461295,0.0,298.8,309.03999999999996,0.054772255750341683,0.0,309.1,1548.4,86.13245613588414,-35.0,1512.0,38.42,5.705874166155422,1.6999999999999957,40.7,153.4,4.219004621945817,2.0,156.0
58,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,10.300000000000011,6385.171876690622,0.10575016516473881,0.026635822850868587,0,1,298.76000000000005,0.054772255751461295,0.0,298.8,309.06,0.05477225575044546,0.0,309.1,1551.6,84.01666501355552,36.0,1477.0,37.72,5.058853625081463,-2.1000000000000014,42.4,156.0,3.162277660168403,2.0,158.0
59,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,10.199999999999989,5131.215640985769,0.09753160740666368,0.017760385299361598,0,1,298.78000000000003,0.044721359551113546,0.0,298.8,309.06000000000006,0.05477225575044546,-0.10000000000002274,309.1,1570.8,97.69953940526027,148.0,1513.0,36.6,6.260990336999401,-10.799999999999997,40.3,158.0,3.162277660168403,2.0,160.0
60,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,0,10.300000000000011,7850.127946986078,0.11973875172733035,0.03947750359979862,0,1,298.8,0.0,0.0,298.8,309.08000000000004,0.0447213595500418,0.10000000000002274,309.0,1508.2,101.62529212750142,-283.0,1661.0,41.459999999999994,8.850028248542474,24.9,29.5,160.2,3.49284983931462,3.0,162.0
61,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,10.300000000000011,7673.004953176688,0.11988513989957994,0.03776022969292159,0,1,298.8,0.0,0.0,298.8,309.08000000000004,0.0447213595500418,0.0,309.1,1484.4,113.72686577937513,15.0,1378.0,43.839999999999996,10.105592511080177,-1.7999999999999972,54.4,162.4,3.6469165057621176,2.0,165.0
62,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,10.199999999999989,6368.469075749038,0.10615577882779159,0.02399497485929964,0,1,298.8,0.0,0.0,298.8,309.06000000000006,0.05477225575044546,-0.10000000000002274,309.1,1507.4,123.09874085464888,199.0,1393.0,43.0,10.42473021233642,-14.399999999999999,52.6,164.6,3.6469165057621176,2.0,167.0
63,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,0,10.199999999999989,4386.092695407342,0.09404045921594288,0.012520503000262162,0,1,298.8,0.0,0.0,298.8,309.04,0.054772255750341683,0.0,309.0,1570.6,189.76116567938766,237.0,1592.0,39.52,13.882254860072255,-15.300000000000004,38.2,167.0,3.807886552931978,3.0,169.0
64,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,1,10.100000000000023,4914.581883569729,0.09602649001323041,0.014293598226107283,0,1,298.82,0.044721359550957844,0.0999999999999659,298.8,309.04,0.054772255750341683,0.0,309.0,1600.8,217.70323837738383,-17.0,1829.0,38.8,14.606334242375794,3.0,22.9,169.4,3.6469165057621176,2.0,172.0
65,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,0,10.100000000000023,6156.244020023535,0.11621799073130794,0.025344714362872806,0,1,298.86,0.08944271910037427,0.10000000000002274,298.9,309.03999999999996,0.054772255750341683,0.10000000000002274,309.0,1629.8,188.2729401693191,-289.0,1812.0,35.64,11.833553988553044,12.700000000000003,25.9,171.8,3.9623225512318085,3.0,174.0
66,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,10.100000000000023,6583.668172519938,0.1284074604530793,0.03235294115326188,0,1,298.9,0.10000000000024949,0.0,299.0,309.04,0.054772255750341683,0.0,309.1,1630.0,187.95877207515485,-129.0,1523.0,34.14,9.363920119266268,6.5,38.6,174.2,3.9623225512318085,2.0,177.0
67,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,10.0,5046.162255877581,0.10780226318772944,0.01709350803031953,0,0,298.91999999999996,0.0836660026536513,-0.10000000000002274,299.0,309.02,0.08366600265323001,-0.20000000000004547,309.1,1647.4,187.58811262977196,285.0,1394.0,32.239999999999995,9.29774166128526,-16.400000000000002,45.1,176.6,3.6469165057621176,2.0,179.0
68,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2,10.099999999999966,6770.195000339076,0.12551159609446685,0.030081855368293414,0,1,298.91999999999996,0.0836660026536513,-0.0999999999999659,298.9,309.0,0.0999999999997993,0.0,308.9,1574.8,169.06418899341165,-213.0,1679.0,36.480000000000004,8.793861495384132,15.400000000000002,28.7,179.0,3.807886552931978,3.0,181.0
69,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,0,10.099999999999966,5180.988940594142,0.12377210208004445,0.021218074642293333,0,1,298.9,0.10000000000024949,0.0,298.8,308.98,0.10954451150080487,0.0,308.9,1517.8,105.008094926058,61.0,1466.0,37.78,7.169170105388742,-11.700000000000003,44.1,182.0,4.690415759823449,5.0,184.0
70,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0,10.100000000000023,9700.923955019924,0.13546099281172977,0.04659574464780444,0,1,298.88,0.08366600265376341,0.0999999999999659,298.8,308.96000000000004,0.08944271909964377,0.10000000000002274,308.9,1495.2,115.26794871081904,-117.0,1527.0,43.2,14.470314440260088,33.300000000000004,32.4,184.8,5.118593556827906,2.0,189.0
